,amp
0,1.78E-13
1,-7.04E-14
2,3.60E-16
3,8.20E-14
4,1.14E-13
5,1.28E-14
6,1.43E-14
7,1.46E-13
8,7.80E-14
9,7.77E-14
10,1.17E-13
11,2.06E-13
12,1.15E-13
13,2.77E-13
14,1.98E-13
15,3.08E-13
16,3.24E-13
17,3.80E-13
18,3.92E-13
19,5.58E-13
20,6.12E-13
21,7.34E-13
22,7.33E-13
23,1.04E-12
24,1.28E-12
25,1.02E-12
26,1.63E-12
27,1.75E-12
28,1.84E-12
29,2.55E-12
30,2.65E-12
31,3.08E-12
32,3.75E-12
33,4.25E-12
34,4.75E-12
35,5.79E-12
36,6.24E-12
37,7.89E-12
38,8.64E-12
39,9.97E-12
40,1.18E-11
41,1.34E-11
42,1.54E-11
43,1.79E-11
44,2.06E-11
45,2.38E-11
46,2.73E-11
47,3.15E-11
48,3.64E-11
49,4.17E-11
50,4.79E-11
51,5.53E-11
52,6.34E-11
53,7.28E-11
54,8.37E-11
55,9.59E-11
56,1.10E-10
57,1.26E-10
58,1.45E-10
59,1.66E-10
60,1.90E-10
61,2.18E-10
62,2.49E-10
63,2.85E-10
64,3.26E-10
65,3.73E-10
66,4.26E-10
67,4.87E-10
68,5.56E-10
69,6.34E-10
70,7.24E-10
71,8.25E-10
72,9.41E-10
73,1.07E-09
74,1.22E-09
75,1.39E-09
76,1.58E-09
77,1.80E-09
78,2.05E-09
79,2.33E-09
80,2.65E-09
81,3.01E-09
82,3.41E-09
83,3.88E-09
84,4.40E-09
85,4.99E-09
86,5.65E-09
87,6.41E-09
88,7.26E-09
89,8.22E-09
90,9.30E-09
91,1.05E-08
92,1.19E-08
93,1.35E-08
94,1.52E-08
95,1.72E-08
96,1.94E-08
97,2.19E-08
98,2.47E-08
99,2.79E-08
100,3.14E-08
101,3.54E-08
102,3.99E-08
103,4.49E-08
104,5.05E-08
105,5.69E-08
106,6.39E-08
107,7.19E-08
108,8.08E-08
109,9.07E-08
110,1.02E-07
111,1.14E-07
112,1.28E-07
113,1.44E-07
114,1.61E-07
115,1.81E-07
116,2.03E-07
117,2.27E-07
118,2.54E-07
119,2.84E-07
120,3.18E-07
121,3.55E-07
122,3.97E-07
123,4.43E-07
124,4.95E-07
125,5.52E-07
126,6.16E-07
127,6.87E-07
128,7.66E-07
129,8.54E-07
130,9.51E-07
131,1.06E-06
132,1.18E-06
133,1.31E-06
134,1.46E-06
135,1.62E-06
136,1.80E-06
137,2.00E-06
138,2.22E-06
139,2.47E-06
140,2.74E-06
141,3.04E-06
142,3.37E-06
143,3.73E-06
144,4.13E-06
145,4.57E-06
146,5.06E-06
147,5.60E-06
148,6.20E-06
149,6.85E-06
150,7.57E-06
151,8.36E-06
152,9.23E-06
153,1.02E-05
154,1.12E-05
155,1.24E-05
156,1.37E-05
157,1.51E-05
158,1.66E-05
159,1.83E-05
160,2.01E-05
161,2.21E-05
162,2.43E-05
163,2.68E-05
164,2.94E-05
165,3.23E-05
166,3.55E-05
167,3.89E-05
168,4.27E-05
169,4.68E-05
170,5.13E-05
171,5.63E-05
172,6.16E-05
173,6.75E-05
174,7.39E-05
175,8.08E-05
176,8.84E-05
177,9.66E-05
