,amp
0,-3.357641507316129e-05
1,1.4792389801518453e-05
2,-9.291096427323133e-06
3,6.735687243210224e-06
4,-5.272606598720706e-06
5,4.328133991681881e-06
6,-3.669128562353228e-06
7,3.1835775487182354e-06
8,-2.811147062534433e-06
9,2.516518720329967e-06
10,-2.277664282983744e-06
11,2.080141208159827e-06
12,-1.9140904529575704e-06
13,1.7725540480005552e-06
14,-1.6504820256364174e-06
15,1.5441210149299343e-06
16,-1.4506237910963764e-06
17,1.3677913237279999e-06
18,-1.2938983917408815e-06
19,1.2275726846640488e-06
20,-1.1677089213282805e-06
21,1.11340690979966e-06
22,-1.063926295519657e-06
23,1.0186524498192495e-06
24,-9.77070829025425e-07
25,9.387475707916507e-07
26,-9.033142037153435e-07
27,8.704557109458126e-07
28,-8.399012973165265e-07
29,8.11416885993792e-07
30,-7.847989663968158e-07
31,7.598698144227774e-07
32,-7.364737682113364e-07
33,7.144735903686532e-07
34,-6.937478537913463e-07
35,6.741889852227824e-07
36,-6.55701107217788e-07
37,6.381985934367837e-07
38,-6.216046877397062e-07
39,6.058503794357859e-07
40,-5.908735802501443e-07
41,5.76618002411861e-07
42,-5.630327492304632e-07
43,5.50071693131481e-07
44,-5.376926644514512e-07
45,5.258572984816597e-07
46,-5.145305972703491e-07
47,5.036804105457015e-07
48,-4.93277235174155e-07
49,4.832940528234234e-07
50,-4.7370591606605653e-07
51,4.6448970298423506e-07
52,-4.556241833458e-07
53,4.4708984832860245e-07
54,-4.388683381752685e-07
55,4.309427119153838e-07
56,-4.232974268451622e-07
57,4.159177415811099e-07
58,-4.0879001850446975e-07
59,4.019016442561007e-07
60,-3.952406658820788e-07
61,3.887959618843449e-07
62,-3.825571616396739e-07
63,3.7651469739823304e-07
64,-3.7065933683237836e-07
65,3.6498242704998965e-07
66,-3.59476054690328e-07
67,3.5413257845574856e-07
68,-3.4894481955085746e-07
69,3.4390615373784334e-07
70,-3.390101814235221e-07
71,3.342508618339587e-07
72,-3.2962253625777086e-07
73,3.2512000573179285e-07
74,-3.2073814487911606e-07
75,3.164720372551367e-07
76,-3.1231724534269703e-07
77,3.082695148733326e-07
78,-3.043246358531833e-07
79,3.0047883974730247e-07
80,-2.967283641764545e-07
81,2.9306964114271646e-07
82,-2.894994682393179e-07
83,2.860146691249682e-07
84,-2.826120070967647e-07
85,2.7928873118609897e-07
86,-2.760421337203201e-07
87,2.7286959984215706e-07
88,-2.69768547998623e-07
89,2.6673658959346266e-07
90,-2.6377140590962296e-07
91,2.608709322531139e-07
92,-2.5803293508722374e-07
93,2.552554777386205e-07
94,-2.525365377238491e-07
95,2.4987442821887916e-07
96,-2.4726725412414274e-07
97,2.4471342377694674e-07
98,-2.422112656107191e-07
99,2.3975929339028795e-07
100,-2.3735583679389077e-07
101,2.3499964421974412e-07
102,-2.3268913382948193e-07
103,2.30423266257554e-07
104,-2.2820050080953782e-07
105,2.2601978456908744e-07
106,-2.23879727745811e-07
107,2.217794708128268e-07
108,-2.1971760974907768e-07
109,2.176934418643598e-07
110,-2.1570562029518337e-07
111,2.1375336547465135e-07
112,-2.118355003201651e-07
113,2.0995157631523448e-07
114,-2.08100091212811e-07
115,2.0628073731237256e-07
116,-2.0449222815688737e-07
117,2.027343830267883e-07
118,-2.0100568380787963e-07
119,1.9930606024607986e-07
120,-1.9763412574727654e-07
121,1.9598999916913019e-07
122,-1.9437215258321322e-07
123,1.9278089738632824e-07
124,-1.9121444927627101e-07
125,1.896733761479659e-07
126,-1.881559974958779e-07
127,1.8666290995747003e-07
128,-1.851922009509975e-07
129,1.8374481541237743e-07
130,-1.8231875007698812e-07
131,1.8091500825012005e-07
132,-1.7953141112173653e-07
133,1.7816953057794003e-07
134,-1.768266376856964e-07
135,1.755044916225201e-07
136,-1.7420034916685877e-07
137,1.7291652518291317e-07
138,-1.7164952467427534e-07
139,1.7040220810289595e-07
140,-1.6917080486548768e-07
141,1.6795852426264273e-07
142,-1.6676109136850428e-07
143,1.6558245142932683e-07
144,-1.6441766750114217e-07
145,1.6327119014675807e-07
146,-1.6213758483387762e-07
147,1.6102222352351267e-07
148,-1.599185922417259e-07
149,1.5883299145471796e-07
150,-1.577580839711048e-07
151,1.567011340238539e-07
152,-1.5565365157423148e-07
153,1.5462431430027768e-07
154,-1.536032850666098e-07
155,1.5260052862371548e-07
