"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.68940000000E+009, -4.88581038321E-001, +0.00000000000E+000
+7.68960000000E+009, -4.62362611807E-001, +0.00000000000E+000
+7.68980000000E+009, -4.58506434466E-001, +0.00000000000E+000
+7.69000000000E+009, -3.99926449443E-001, +0.00000000000E+000
+7.69020000000E+009, -3.22258227826E-001, +0.00000000000E+000
+7.69040000000E+009, -3.02764842740E-001, +0.00000000000E+000
+7.69060000000E+009, -3.96937653105E-001, +0.00000000000E+000
+7.69080000000E+009, -2.05913773194E-001, +0.00000000000E+000
+7.69100000000E+009, -3.44556679946E-001, +0.00000000000E+000
+7.69120000000E+009, -1.81902287221E-001, +0.00000000000E+000
+7.69140000000E+009, -2.65084212346E-001, +0.00000000000E+000
+7.69160000000E+009, -2.74012172543E-001, +0.00000000000E+000
+7.69180000000E+009, -1.13928581430E-001, +0.00000000000E+000
+7.69200000000E+009, -5.72393074074E-001, +0.00000000000E+000
+7.69220000000E+009, -3.80886036244E-001, +0.00000000000E+000
+7.69240000000E+009, -2.79466238036E-001, +0.00000000000E+000
+7.69260000000E+009, -3.28828113393E-001, +0.00000000000E+000
+7.69280000000E+009, -2.84113518645E-001, +0.00000000000E+000
+7.69300000000E+009, -3.48482394471E-001, +0.00000000000E+000
+7.69320000000E+009, -1.63061014408E-001, +0.00000000000E+000
+7.69340000000E+009, -6.04737943697E-001, +0.00000000000E+000
+7.69360000000E+009, -5.78332858882E-001, +0.00000000000E+000
+7.69380000000E+009, -7.41401521095E-001, +0.00000000000E+000
+7.69400000000E+009, -5.07404370973E-001, +0.00000000000E+000
+7.69420000000E+009, -4.11327269592E-001, +0.00000000000E+000
+7.69440000000E+009, -4.07596081618E-001, +0.00000000000E+000
+7.69460000000E+009, -3.62042662615E-001, +0.00000000000E+000
+7.69480000000E+009, -5.75682699485E-001, +0.00000000000E+000
+7.69500000000E+009, -4.53469486240E-001, +0.00000000000E+000
+7.69520000000E+009, -4.66003558813E-001, +0.00000000000E+000
+7.69540000000E+009, -3.39074320375E-001, +0.00000000000E+000
+7.69560000000E+009, -3.39806450604E-001, +0.00000000000E+000
+7.69580000000E+009, -5.49346324586E-001, +0.00000000000E+000
+7.69600000000E+009, -4.74903127778E-001, +0.00000000000E+000
+7.69620000000E+009, -4.17499681501E-001, +0.00000000000E+000
+7.69640000000E+009, -4.01985404385E-001, +0.00000000000E+000
+7.69660000000E+009, -3.23512034405E-001, +0.00000000000E+000
+7.69680000000E+009, -4.01878122783E-001, +0.00000000000E+000
+7.69700000000E+009, -3.97826427729E-001, +0.00000000000E+000
+7.69720000000E+009, -4.78172972889E-001, +0.00000000000E+000
+7.69740000000E+009, -2.54997653787E-001, +0.00000000000E+000
+7.69760000000E+009, -4.41425148988E-001, +0.00000000000E+000
+7.69780000000E+009, -4.48150453618E-001, +0.00000000000E+000
