"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.68940000000E+009, +2.47667958017E-001, +0.00000000000E+000
+7.68960000000E+009, +3.18758690002E-001, +0.00000000000E+000
+7.68980000000E+009, +1.69894255355E-001, +0.00000000000E+000
+7.69000000000E+009, +1.46043392138E-001, +0.00000000000E+000
+7.69020000000E+009, +3.87060698382E-001, +0.00000000000E+000
+7.69040000000E+009, +3.38332911768E-001, +0.00000000000E+000
+7.69060000000E+009, +3.30461232175E-001, +0.00000000000E+000
+7.69080000000E+009, +4.94869880821E-001, +0.00000000000E+000
+7.69100000000E+009, +3.03902728708E-001, +0.00000000000E+000
+7.69120000000E+009, +5.07415018217E-001, +0.00000000000E+000
+7.69140000000E+009, +4.31620428710E-001, +0.00000000000E+000
+7.69160000000E+009, +4.74771872047E-001, +0.00000000000E+000
+7.69180000000E+009, +5.75482036495E-001, +0.00000000000E+000
+7.69200000000E+009, +1.74444574515E-001, +0.00000000000E+000
+7.69220000000E+009, +2.35421838478E-001, +0.00000000000E+000
+7.69240000000E+009, +3.89687095674E-001, +0.00000000000E+000
+7.69260000000E+009, +3.71572038308E-001, +0.00000000000E+000
+7.69280000000E+009, +4.41881282304E-001, +0.00000000000E+000
+7.69300000000E+009, +3.00615268352E-001, +0.00000000000E+000
+7.69320000000E+009, +4.76757765701E-001, +0.00000000000E+000
+7.69340000000E+009, +2.16650254807E-001, +0.00000000000E+000
+7.69360000000E+009, +2.09838877067E-001, +0.00000000000E+000
+7.69380000000E+009, +7.41158390164E-002, +0.00000000000E+000
+7.69400000000E+009, +2.04185249246E-001, +0.00000000000E+000
+7.69420000000E+009, +2.66408458834E-001, +0.00000000000E+000
+7.69440000000E+009, +2.55087996582E-001, +0.00000000000E+000
+7.69460000000E+009, +3.05888521643E-001, +0.00000000000E+000
+7.69480000000E+009, +9.81868718110E-002, +0.00000000000E+000
+7.69500000000E+009, +1.72277813097E-001, +0.00000000000E+000
