Logfile created: Tue Jul 12 16:25:05 2016

SpinAPI version: 20150129_x86_64
Current Board #: 0
================================================================================================
TIME     FUNCTION                  MESSAGE   
================================================================================================
16:25:05 os_count_boards          Registering WinDriver...
16:25:05 RegisterWinDriver        Using WinDriver version 1031.
16:25:05 RegisterWinDriver        lic.dwLicense:  0x2051dfc
16:25:05 RegisterWinDriver        lic.dwLicense2: 0x88
16:25:05 RegisterWinDriver        license setup succeeded
16:25:05 os_usb_count_devices     os_usb_count_devices: Enumerating USB Devices...

16:25:05 os_usb_count_devices     os_usb_count_devices: Enumeration Completed. Found 0 Devices.

16:25:05 pb_count_boards          pb_count_boards(): Detected 1 boards in your system.

16:25:05 pb_init                  Entering pb_init. cur_board = 0

16:25:05 os_usb_count_devices     os_usb_count_devices: Enumerating USB Devices...

16:25:05 os_usb_count_devices     os_usb_count_devices: Enumeration Completed. Found 0 Devices.

16:25:05 pb_count_boards          pb_count_boards(): Detected 1 boards in your system.

16:25:05 do_os_init               do_os_init: board # 0

16:25:05 do_os_init               do_os_init: num_pci_boards: 1

16:25:05 do_os_init               do_os_init: num_usb_devices: 0

16:25:05 do_os_init               do_os_init: initializing pci

16:25:05 os_init                  card_num: 0

16:25:05 os_init                  PciScanCards found 1 SpinCore cards, 0 other cards.
16:25:05 os_init                  Support:

16:25:05 os_init                  	5920
16:25:05 os_init                  	8852
16:25:05 os_init                  	8873
16:25:05 os_init                  	8874
16:25:05 os_init                  	8875
16:25:05 os_init                  	8876
16:25:05 os_init                  	8878
16:25:05 os_init                  	8879
16:25:05 os_init                  	8890
16:25:05 os_init                  	887A
16:25:05 os_init                  	887C
16:25:05 get_caps                 dev_id=0x8878
16:25:05 get_caps                 Detected PulseBlasterESR board (r 0x110b)
16:25:05 pb_start_programming     pb_start_programming (device=0)
16:25:05 pb_start_programming     pb_start_programming: reset

16:25:05 pb_outp                   pb_outp: addr 0, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 2, data a. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 3, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 4, data 0. Using the direct protocol.
16:25:05 pb_inst_pbonly64         pb_inst_pbonly: inst=7, inst_data=10,length=10.000000, flags=0x00000001

16:25:05 pb_inst_direct           pb_inst_direct: OPCODE=0x87, flags=0x00000001, delay=2

16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 1. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 87. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 2. Using the direct protocol.
16:25:05 pb_inst_pbonly64         pb_inst_pbonly: inst=7, inst_data=190,length=10.000000, flags=0x00000000

16:25:05 pb_inst_direct           pb_inst_direct: OPCODE=0xbc7, flags=0x00000000, delay=2

16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data b. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data c7. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 2. Using the direct protocol.
16:25:05 pb_inst_pbonly64         pb_inst_pbonly: inst=7, inst_data=10,length=10.000000, flags=0x00000006

16:25:05 pb_inst_direct           pb_inst_direct: OPCODE=0x87, flags=0x00000006, delay=2

16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 6. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 87. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 2. Using the direct protocol.
16:25:05 pb_inst_pbonly64         pb_inst_pbonly: inst=7, inst_data=90,length=10.000000, flags=0x00000004

16:25:05 pb_inst_direct           pb_inst_direct: OPCODE=0x587, flags=0x00000004, delay=2

16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 4. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 5. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 87. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 2. Using the direct protocol.
16:25:05 pb_inst_pbonly64         pb_inst_pbonly: inst=6, inst_data=0,length=197000.000000, flags=0x00000000

16:25:05 pb_inst_direct           pb_inst_direct: OPCODE=0x6, flags=0x00000000, delay=98497

16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 6. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 1. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data 80. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 6, data c1. Using the direct protocol.
16:25:05 pb_stop_programming      pb_stop_programming: (device=0)
16:25:05 pb_outp                   pb_outp: addr 7, data 0. Using the direct protocol.
16:25:05 pb_reset                 pb_reset():
16:25:05 pb_outp                   pb_outp: addr 0, data 0. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 2, data ff. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 3, data ff. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 4, data ff. Using the direct protocol.
16:25:05 pb_outp                   pb_outp: addr 7, data 0. Using the direct protocol.
16:25:05 pb_start                 pb_start():
16:25:05 pb_outp                   pb_outp: addr 1, data 0. Using the direct protocol.
16:25:05 do_os_close              do_os_close: closing pci

